dataset_scope,strategy,detected,selector_pass,selector_fail,score_pass,score_fail,risk_pass,risk_fail,planner_pass,planner_fail,executable,forward_open,forward_closed,exchange_trades,wins,losses,be,reject_reasons,missing_stages,provenance
backtest_funnel_2026-07-13,momentum_breakout,134,,,79,55,,,0,134,0,,,,,,,"[{""classification"":""BLOCKING_OR_ADVERSE"",""count"":21,""reason"":""Negative expectancy detected for strategy momentum_breakout.""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":20,""reason"":""blocked: long without bullish primary trend""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":17,""reason"":""HTF regime blocks LONG: <N>D=bearish, <N>H=bearish""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":15,""reason"":""expectancy-watch: strategy weak but not hard-paused""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":13,""reason"":""score below Safe Mode minimum: <N> < <N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":9,""reason"":""HTF alignment opposes long setup""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":6,""reason"":""momentum-quality PROBE: volume below requirement, reduced size""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":5,""reason"":""momentum-quality blocked: volume ratio too weak""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":3,""reason"":""kill-switch: symbol paused by expectancy""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":2,""reason"":""execution-cost blocked: long entry too high in candle""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""TP<N>_NET_EDGE <N> below minimum <N> after spread/fees buffer""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""blocked: market alignment mixed without MTF confirmation""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""score verdict WATCH blocks execution""}]","[""selector_pass"",""selector_fail"",""risk_pass"",""risk_fail"",""forward_open"",""forward_closed"",""exchange_trades"",""wins"",""losses"",""be""]","[""reports/backtests/strategy_funnel.json""]"
backtest_funnel_2026-07-13,momentum_breakdown,81,,,81,0,,,36,45,36,,,,,,,"[{""classification"":""BLOCKING_OR_ADVERSE"",""count"":3,""reason"":""expectancy-watch: strategy weak but not hard-paused""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":3,""reason"":""strategy weighting PROBE: negative expectancy, trading at reduced size""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":2,""reason"":""momentum-quality blocked: late breakdown entry without strong follow-through""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""LARGEST_LOSS_GUARD stop_bps=<N> limit=<N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""blocked: orderbook risk-off""}]","[""selector_pass"",""selector_fail"",""risk_pass"",""risk_fail"",""forward_open"",""forward_closed"",""exchange_trades"",""wins"",""losses"",""be""]","[""reports/backtests/strategy_funnel.json""]"
backtest_funnel_2026-07-13,trend_continuation,43,,,41,2,,,0,43,0,,,,,,,"[{""classification"":""BLOCKING_OR_ADVERSE"",""count"":4,""reason"":""shorts disabled : shorts <N> WR / <N> net vs longs <N> / <N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":4,""reason"":""strategy weighting PROBE: negative expectancy, trading at reduced size""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":2,""reason"":""LARGEST_LOSS_GUARD stop_bps=<N> limit=<N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":2,""reason"":""expectancy-watch: strategy weak but not hard-paused""}]","[""selector_pass"",""selector_fail"",""risk_pass"",""risk_fail"",""forward_open"",""forward_closed"",""exchange_trades"",""wins"",""losses"",""be""]","[""reports/backtests/strategy_funnel.json""]"
backtest_funnel_2026-07-13,liquidity_sweep_reversal,11,,,7,4,,,0,11,0,,,,,,,"[{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""blocked: orderbook risk-off""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""shorts disabled : shorts <N> WR / <N> net vs longs <N> / <N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""sweep_directional_pressure_weak""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""sweep_penalties=sweep_entry_quality_weak""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":1,""reason"":""verdict=NO_GO""}]","[""selector_pass"",""selector_fail"",""risk_pass"",""risk_fail"",""forward_open"",""forward_closed"",""exchange_trades"",""wins"",""losses"",""be""]","[""reports/backtests/strategy_funnel.json""]"
backtest_funnel_2026-07-13,low_vol_reclaim,286,,,286,0,,,0,286,0,,,,,,,"[{""classification"":""BLOCKING_OR_ADVERSE"",""count"":42,""reason"":""expectancy-watch: strategy weak but not hard-paused""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":42,""reason"":""shorts disabled : shorts <N> WR / <N> net vs longs <N> / <N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":42,""reason"":""strategy weighting HARD-PAUSE: learning report status=PAUSE""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":17,""reason"":""TP<N>_NET_EDGE <N> below minimum <N> after spread/fees buffer""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":15,""reason"":""DAY_DEFENSIVE_LOW_VOL_RECLAIM_BLOCK entry_quality=<N><<N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":8,""reason"":""DAY_DEFENSIVE_LOW_VOL_RECLAIM_BLOCK pressure_expansion_weak=<N>/<N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":7,""reason"":""pressure_expansion_weak=<N>/<N>""},{""classification"":""BLOCKING_OR_ADVERSE"",""count"":5,""reason"":""kill-switch: symbol paused by expectancy""}]","[""selector_pass"",""selector_fail"",""risk_pass"",""risk_fail"",""forward_open"",""forward_closed"",""exchange_trades"",""wins"",""losses"",""be""]","[""reports/backtests/strategy_funnel.json""]"
backtest_funnel_2026-07-13,adaptive_momentum_continuation,,,,,,,,,,,,,,,,,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""forward_open"",""forward_closed"",""exchange_trades"",""wins"",""losses"",""be""]",[]
forward_paper_current,momentum_breakout,,,,,,,,,,,0,0,,0,0,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""exchange_trades""]","[""data_store/forward_paper_events.jsonl"",""data_store/forward_paper_outcomes.csv""]"
forward_paper_current,momentum_breakdown,,,,,,,,,,,0,0,,0,0,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""exchange_trades""]","[""data_store/forward_paper_events.jsonl"",""data_store/forward_paper_outcomes.csv""]"
forward_paper_current,trend_continuation,,,,,,,,,,,0,0,,0,0,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""exchange_trades""]","[""data_store/forward_paper_events.jsonl"",""data_store/forward_paper_outcomes.csv""]"
forward_paper_current,liquidity_sweep_reversal,,,,,,,,,,,0,0,,0,0,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""exchange_trades""]","[""data_store/forward_paper_events.jsonl"",""data_store/forward_paper_outcomes.csv""]"
forward_paper_current,low_vol_reclaim,,,,,,,,,,,0,0,,0,0,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""exchange_trades""]","[""data_store/forward_paper_events.jsonl"",""data_store/forward_paper_outcomes.csv""]"
forward_paper_current,adaptive_momentum_continuation,,,,,,,,,,,0,0,,0,0,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""exchange_trades""]","[""data_store/forward_paper_events.jsonl"",""data_store/forward_paper_outcomes.csv""]"
exchange_internal_attribution,momentum_breakout,,,,,,,,,,,,,48,23,25,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""forward_open"",""forward_closed""]","[""data_store/trades/latest_real_closed_trades.json""]"
exchange_internal_attribution,momentum_breakdown,,,,,,,,,,,,,30,10,20,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""forward_open"",""forward_closed""]","[""data_store/trades/latest_real_closed_trades.json""]"
exchange_internal_attribution,trend_continuation,,,,,,,,,,,,,14,3,11,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""forward_open"",""forward_closed""]","[""data_store/trades/latest_real_closed_trades.json""]"
exchange_internal_attribution,liquidity_sweep_reversal,,,,,,,,,,,,,1,0,1,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""forward_open"",""forward_closed""]","[""data_store/trades/latest_real_closed_trades.json""]"
exchange_internal_attribution,low_vol_reclaim,,,,,,,,,,,,,278,91,187,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""forward_open"",""forward_closed""]","[""data_store/trades/latest_real_closed_trades.json""]"
exchange_internal_attribution,adaptive_momentum_continuation,,,,,,,,,,,,,0,0,0,0,[],"[""detected"",""selector_pass"",""selector_fail"",""score_pass"",""score_fail"",""risk_pass"",""risk_fail"",""planner_pass"",""planner_fail"",""executable"",""forward_open"",""forward_closed""]","[""data_store/trades/latest_real_closed_trades.json""]"
